Region;Alder;Tid;value
0412;F0-19;2014;8055
0412;F0-19;2015;8005
0412;F20-64;2013;19277
0412;F20-64;2014;19263
0412;F20-64;2015;19322
0412;F65+;2013;5968
0412;F65+;2014;6145
0412;F65+;2015;6276
0415;F0-19;2013;1713
0415;F0-19;2014;1711
0415;F0-19;2015;1702
0415;F20-64;2013;4372
0415;F20-64;2014;4419
0415;F20-64;2015;4406
0415;F65+;2013;1394
0415;F65+;2014;1416
0415;F65+;2015;1444
0417;F0-19;2013;4633
0417;F0-19;2014;4717
0417;F0-19;2015;4765
0417;F20-64;2013;11207
0417;F20-64;2014;11359
0417;F20-64;2015;11461
0417;F65+;2013;3567
0417;F65+;2014;3661
0417;F65+;2015;3787
0418;F0-19;2013;1135
0418;F0-19;2014;1105
0418;F0-19;2015;1095
0418;F20-64;2013;2928
0418;F20-64;2014;2868
0418;F20-64;2015;2852
0418;F65+;2013;1127
0418;F65+;2014;1145
0418;F65+;2015;1181
0419;F0-19;2013;1764
0419;F0-19;2014;1747
0419;F0-19;2015;1681
0419;F20-64;2013;4596
0419;F20-64;2014;4596
0419;F20-64;2015;4588
0419;F65+;2013;1446
0419;F65+;2014;1504
0419;F65+;2015;1531
0420;F0-19;2013;1401
0420;F0-19;2014;1347
0420;F0-19;2015;1306
0420;F20-64;2013;3541
0420;F20-64;2014;3520
0420;F20-64;2015;3502
0420;F65+;2013;1340
0420;F65+;2014;1386
0420;F65+;2015;1411
0423;F0-19;2013;1032
0423;F0-19;2014;988
0423;F0-19;2015;950
0423;F20-64;2013;2738
0423;F20-64;2014;2712
0423;F20-64;2015;2631
0423;F65+;2013;1227
0423;F65+;2014;1248
0423;F65+;2015;1272
0425;F0-19;2013;1525
0425;F0-19;2014;1488
0425;F0-19;2015;1456
0425;F20-64;2013;4205
0425;F20-64;2014;4178
0425;F20-64;2015;4214
0425;F65+;2013;1870
0425;F65+;2014;1878
0425;F65+;2015;1891
0426;F0-19;2013;738
0426;F0-19;2014;699
0426;F0-19;2015;720
0426;F20-64;2013;2174
0426;F20-64;2014;2168
0426;F20-64;2015;2133
0426;F65+;2013;914
0426;F65+;2014;916
0426;F65+;2015;937
0427;F0-19;2013;4884
0427;F0-19;2014;4901
0427;F0-19;2015;4879
0427;F20-64;2013;11756
0427;F20-64;2014;11834
0427;F20-64;2015;11999
0427;F65+;2013;3703
0427;F65+;2014;3828
0427;F65+;2015;3916
0428;F0-19;2013;1402
0428;F0-19;2014;1351
0428;F0-19;2015;1311
0428;F20-64;2013;3733
0428;F20-64;2014;3693
0428;F20-64;2015;3645
0428;F65+;2013;1554
0428;F65+;2014;1577
0428;F65+;2015;1613
0429;F0-19;2013;1002
0429;F0-19;2014;1019
0429;F0-19;2015;1016
0429;F20-64;2013;2531
0429;F20-64;2014;2554
0429;F20-64;2015;2527
0429;F65+;2013;854
0429;F65+;2014;882
0429;F65+;2015;913
0430;F0-19;2013;502
0430;F0-19;2014;493
0430;F0-19;2015;460
0430;F20-64;2013;1528
0430;F20-64;2014;1569
0430;F20-64;2015;1512
0430;F65+;2013;611
0430;F65+;2014;637
0430;F65+;2015;647
0432;F0-19;2013;378
0432;F0-19;2014;358
0432;F0-19;2015;356
0432;F20-64;2013;1031
0432;F20-64;2014;993
0432;F20-64;2015;998
0432;F65+;2013;501
0432;F65+;2014;532
0432;F65+;2015;531
0434;F0-19;2013;300
0434;F0-19;2014;270
0434;F0-19;2015;287
0434;F20-64;2013;723
0434;F20-64;2014;715
0434;F20-64;2015;707
0434;F65+;2013;353
0434;F65+;2014;360
0434;F65+;2015;365
0436;F0-19;2013;416
0436;F0-19;2014;411
0436;F0-19;2015;414
0436;F20-64;2013;945
0436;F20-64;2014;928
0436;F20-64;2015;929
0436;F65+;2013;320
0436;F65+;2014;319
0436;F65+;2015;313
0437;F0-19;2013;1423
0437;F0-19;2014;1419
0437;F0-19;2015;1418
0437;F20-64;2013;3136
0437;F20-64;2014;3111
0437;F20-64;2015;3111
0437;F65+;2013;1011
0437;F65+;2014;1019
0437;F65+;2015;1033
0438;F0-19;2013;632
0438;F0-19;2014;630
0438;F0-19;2015;625
0438;F20-64;2013;1357
0438;F20-64;2014;1342
0438;F20-64;2015;1332
0438;F65+;2013;460
0438;F65+;2014;460
0438;F65+;2015;461
0439;F0-19;2013;381
0439;F0-19;2014;379
0439;F0-19;2015;355
0439;F20-64;2013;879
0439;F20-64;2014;840
0439;F20-64;2015;821
0439;F65+;2013;394
0439;F65+;2014;412
0439;F65+;2015;421
0441;F0-19;2013;504
0441;F0-19;2014;480
0441;F0-19;2015;463
0441;F20-64;2013;1117
0441;F20-64;2014;1118
0441;F20-64;2015;1095
0441;F65+;2013;414
0441;F65+;2014;415
0441;F65+;2015;433
0501;F0-19;2013;6210
0501;F0-19;2014;6119
0501;F0-19;2015;6121
0501;F20-64;2013;15633
0501;F20-64;2014;15822
0501;F20-64;2015;15969
0501;F65+;2013;5007
0501;F65+;2014;5087
0501;F65+;2015;5210
0502;F0-19;2013;6787
0502;F0-19;2014;6775
0502;F0-19;2015;6856
0502;F20-64;2013;17321
0502;F20-64;2014;17452
0502;F20-64;2015;17652
0502;F65+;2013;5299
0502;F65+;2014;5441
0502;F65+;2015;5555
0511;F0-19;2013;577
0511;F0-19;2014;574
0511;F0-19;2015;590
0511;F20-64;2013;1537
0511;F20-64;2014;1499
0511;F20-64;2015;1510
0511;F65+;2013;613
0511;F65+;2014;631
0511;F65+;2015;645
0512;F0-19;2013;517
0512;F0-19;2014;482
0512;F0-19;2015;475
0512;F20-64;2013;1171
0512;F20-64;2014;1147
0512;F20-64;2015;1132
0512;F65+;2013;457
0512;F65+;2014;447
0512;F65+;2015;452
0513;F0-19;2013;490
0513;F0-19;2014;483
0513;F0-19;2015;473
0513;F20-64;2013;1269
0513;F20-64;2014;1252
0513;F20-64;2015;1229
0513;F65+;2013;520
0513;F65+;2014;529
0513;F65+;2015;543
0514;F0-19;2013;518
0514;F0-19;2014;519
0514;F0-19;2015;517
0514;F20-64;2013;1360
0514;F20-64;2014;1354
0514;F20-64;2015;1344
0514;F65+;2013;486
0514;F65+;2014;488
0514;F65+;2015;495
0515;F0-19;2013;854
0515;F0-19;2014;840
0515;F0-19;2015;826
0515;F20-64;2013;2037
0515;F20-64;2014;2009
0515;F20-64;2015;1990
0515;F65+;2013;825
0515;F65+;2014;837
0515;F65+;2015;859
0516;F0-19;2013;1320
0516;F0-19;2014;1293
0516;F0-19;2015;1276
0516;F20-64;2013;3283
0516;F20-64;2014;3213
